# Region type : patch pressure_outlet
# Faces       : 1888
# Area        : 4.314365e-03
# Scale factor: 1.000000e+00
# Time        	areaAverage(U)
105           	(-2.779096e-02 2.432527e-02 1.000019e+00)
106           	(-2.738311e-02 2.503563e-02 1.000014e+00)
107           	(-2.698631e-02 2.582194e-02 1.000012e+00)
108           	(-2.653890e-02 2.656654e-02 1.000007e+00)
109           	(-2.618189e-02 2.737896e-02 1.000003e+00)
110           	(-2.563407e-02 2.819108e-02 9.999904e-01)
111           	(-2.516064e-02 2.900624e-02 9.999870e-01)
112           	(-2.467926e-02 2.975659e-02 9.999808e-01)
113           	(-2.421857e-02 3.045543e-02 9.999841e-01)
114           	(-2.375573e-02 3.114356e-02 9.999793e-01)
115           	(-2.334262e-02 3.183099e-02 9.999788e-01)
116           	(-2.292467e-02 3.248944e-02 9.999734e-01)
117           	(-2.248498e-02 3.309178e-02 9.999725e-01)
118           	(-2.201377e-02 3.371532e-02 9.999684e-01)
119           	(-2.154179e-02 3.432190e-02 9.999676e-01)
120           	(-2.100996e-02 3.494492e-02 9.999626e-01)
121           	(-2.051886e-02 3.554807e-02 9.999619e-01)
122           	(-2.006058e-02 3.609872e-02 9.999644e-01)
123           	(-1.960077e-02 3.662858e-02 9.999700e-01)
124           	(-1.914421e-02 3.713393e-02 9.999695e-01)
125           	(-1.856235e-02 3.767500e-02 9.999706e-01)
126           	(-1.808845e-02 3.817001e-02 9.999731e-01)
127           	(-1.763337e-02 3.859870e-02 9.999723e-01)
128           	(-1.718053e-02 3.900496e-02 9.999700e-01)
129           	(-1.671099e-02 3.933485e-02 9.999656e-01)
130           	(-1.628629e-02 3.972861e-02 9.999628e-01)
131           	(-1.585920e-02 4.006728e-02 9.999543e-01)
132           	(-1.542806e-02 4.044573e-02 9.999491e-01)
133           	(-1.508694e-02 4.082546e-02 9.999401e-01)
134           	(-1.467279e-02 4.100409e-02 9.999309e-01)
135           	(-1.433802e-02 4.122173e-02 9.999263e-01)
136           	(-1.381150e-02 4.127689e-02 9.999230e-01)
137           	(-1.330444e-02 4.135460e-02 9.999222e-01)
138           	(-1.288676e-02 4.146204e-02 9.999258e-01)
139           	(-1.256412e-02 4.158085e-02 9.999296e-01)
140           	(-1.219987e-02 4.162256e-02 9.999329e-01)
141           	(-1.194205e-02 4.169841e-02 9.999414e-01)
142           	(-1.149954e-02 4.180128e-02 9.999525e-01)
143           	(-1.111411e-02 4.182172e-02 9.999609e-01)
144           	(-1.073389e-02 4.169082e-02 9.999651e-01)
145           	(-1.039274e-02 4.160095e-02 9.999710e-01)
146           	(-1.007081e-02 4.155549e-02 9.999689e-01)
147           	(-9.741148e-03 4.146955e-02 9.999661e-01)
148           	(-9.413352e-03 4.138228e-02 9.999549e-01)
149           	(-9.012865e-03 4.136425e-02 9.999363e-01)
150           	(-8.717157e-03 4.115732e-02 9.999100e-01)
151           	(-8.442773e-03 4.089642e-02 9.998877e-01)
152           	(-8.210820e-03 4.063167e-02 9.998663e-01)
153           	(-7.888374e-03 4.028908e-02 9.998531e-01)
154           	(-7.615231e-03 4.004044e-02 9.998497e-01)
155           	(-6.973307e-03 3.978778e-02 9.998472e-01)
156           	(-6.641809e-03 3.952350e-02 9.998491e-01)
157           	(-6.134789e-03 3.908381e-02 9.998611e-01)
158           	(-5.749234e-03 3.855057e-02 9.998825e-01)
159           	(-5.555330e-03 3.818299e-02 9.999011e-01)
160           	(-5.317679e-03 3.775169e-02 9.999209e-01)
161           	(-5.137238e-03 3.722113e-02 9.999395e-01)
162           	(-4.896821e-03 3.655477e-02 9.999544e-01)
163           	(-4.751933e-03 3.607887e-02 9.999678e-01)
164           	(-4.224177e-03 3.526722e-02 9.999778e-01)
165           	(-3.843053e-03 3.463880e-02 9.999878e-01)
166           	(-3.594132e-03 3.398877e-02 9.999900e-01)
167           	(-3.391872e-03 3.325059e-02 9.999839e-01)
168           	(-3.228676e-03 3.254502e-02 9.999675e-01)
169           	(-2.940354e-03 3.151234e-02 9.999432e-01)
170           	(-2.875968e-03 3.082895e-02 9.999115e-01)
171           	(-2.745661e-03 3.004190e-02 9.998823e-01)
172           	(-2.427905e-03 2.928722e-02 9.998626e-01)
173           	(-2.308260e-03 2.850591e-02 9.998517e-01)
174           	(-2.248491e-03 2.779562e-02 9.998501e-01)
175           	(-2.046055e-03 2.694278e-02 9.998625e-01)
176           	(-1.792680e-03 2.599298e-02 9.998787e-01)
177           	(-1.613607e-03 2.519554e-02 9.999007e-01)
