# Region type : patch pressure_outlet
# Faces       : 1888
# Area        : 4.314365e-03
# Scale factor: 1.000000e+00
# Time        	areaAverage(U)
105           	(-1.087468e-02 5.072301e-02 1.000317e+00)
106           	(-1.135817e-02 5.151339e-02 1.000288e+00)
107           	(-1.208427e-02 5.209872e-02 1.000257e+00)
108           	(-1.269351e-02 5.281190e-02 1.000232e+00)
109           	(-1.328338e-02 5.359030e-02 1.000230e+00)
110           	(-1.399372e-02 5.413923e-02 1.000214e+00)
111           	(-1.452619e-02 5.471655e-02 1.000238e+00)
112           	(-1.497775e-02 5.541132e-02 1.000222e+00)
113           	(-1.563323e-02 5.614201e-02 1.000124e+00)
114           	(-1.618861e-02 5.670344e-02 1.000012e+00)
115           	(-1.686890e-02 5.753378e-02 9.998899e-01)
116           	(-1.720463e-02 5.809020e-02 9.998567e-01)
117           	(-1.768032e-02 5.853480e-02 9.999141e-01)
118           	(-1.801088e-02 5.907006e-02 1.000057e+00)
119           	(-1.827585e-02 5.960580e-02 1.000073e+00)
120           	(-1.886707e-02 6.020227e-02 1.000093e+00)
121           	(-1.931284e-02 6.095759e-02 1.000010e+00)
122           	(-1.978964e-02 6.165256e-02 9.999519e-01)
123           	(-2.025197e-02 6.227833e-02 9.998883e-01)
124           	(-2.051649e-02 6.326396e-02 9.998119e-01)
125           	(-2.073690e-02 6.404826e-02 9.997680e-01)
126           	(-2.091168e-02 6.485032e-02 9.998626e-01)
127           	(-2.117964e-02 6.570880e-02 1.000086e+00)
128           	(-2.127235e-02 6.667694e-02 1.000197e+00)
129           	(-2.142846e-02 6.742867e-02 1.000242e+00)
130           	(-2.135992e-02 6.811574e-02 1.000269e+00)
131           	(-2.128064e-02 6.876477e-02 1.000273e+00)
132           	(-2.130959e-02 6.948554e-02 1.000260e+00)
133           	(-2.107945e-02 7.014773e-02 1.000281e+00)
134           	(-2.079589e-02 7.073683e-02 1.000320e+00)
135           	(-2.075678e-02 7.104187e-02 1.000431e+00)
136           	(-2.059340e-02 7.130101e-02 1.000485e+00)
137           	(-2.027010e-02 7.176149e-02 1.000337e+00)
138           	(-1.992511e-02 7.231562e-02 1.000266e+00)
139           	(-1.973079e-02 7.258796e-02 1.000293e+00)
140           	(-1.910688e-02 7.304742e-02 1.000412e+00)
141           	(-1.844767e-02 7.338364e-02 1.000500e+00)
142           	(-1.790054e-02 7.381466e-02 1.000504e+00)
143           	(-1.741925e-02 7.420467e-02 1.000568e+00)
144           	(-1.676723e-02 7.465545e-02 1.000715e+00)
145           	(-1.619542e-02 7.531566e-02 1.000807e+00)
146           	(-1.548900e-02 7.546670e-02 1.000615e+00)
147           	(-1.481262e-02 7.547197e-02 1.000456e+00)
148           	(-1.396636e-02 7.558912e-02 1.000317e+00)
