# Region type : patch pressure_outlet
# Faces       : 6382
# Area        : 3.066803e-04
# Scale factor: 1.000000e+00
# Time        	areaAverage(U)
101           	(-1.594776e-01 -7.030039e-02 -1.187532e-01)
102           	(-1.534581e-01 -1.344638e-02 -1.081364e-01)
103           	(-1.551022e-01 3.138165e-02 -1.076635e-01)
104           	(-1.583203e-01 6.088646e-02 -1.009982e-01)
105           	(-1.659976e-01 7.282124e-02 -1.080785e-01)
106           	(-1.583880e-01 7.004348e-02 -1.012360e-01)
107           	(-1.632763e-01 5.672782e-02 -1.059432e-01)
108           	(-1.552533e-01 3.522029e-02 -1.163442e-01)
109           	(-1.494141e-01 7.485949e-03 -1.116939e-01)
110           	(-1.302161e-01 -2.301915e-02 -9.944322e-02)
111           	(-1.401776e-01 -5.193177e-02 -1.028582e-01)
112           	(-1.426954e-01 -7.493547e-02 -9.127466e-02)
113           	(-1.551169e-01 -9.493688e-02 -9.935255e-02)
114           	(-1.651377e-01 -1.061603e-01 -9.482881e-02)
115           	(-1.767020e-01 -1.071367e-01 -1.131583e-01)
116           	(-1.900671e-01 -1.010595e-01 -1.365718e-01)
117           	(-1.917720e-01 -8.847027e-02 -1.321650e-01)
118           	(-1.926080e-01 -7.152772e-02 -1.426317e-01)
119           	(-1.954545e-01 -5.410457e-02 -1.476801e-01)
120           	(-1.992182e-01 -4.000371e-02 -1.588249e-01)
121           	(-2.069931e-01 -2.690578e-02 -1.688174e-01)
122           	(-2.101542e-01 -1.748102e-02 -1.777560e-01)
123           	(-2.113405e-01 -9.294302e-03 -1.703599e-01)
124           	(-2.253130e-01 -2.693285e-03 -1.688957e-01)
125           	(-2.157192e-01 1.011788e-03 -1.593780e-01)
126           	(-2.191505e-01 7.202476e-04 -1.541604e-01)
127           	(-2.184765e-01 -3.316795e-03 -1.482194e-01)
128           	(-2.097650e-01 -1.059798e-02 -1.451051e-01)
129           	(-2.104222e-01 -2.052614e-02 -1.546418e-01)
130           	(-2.110422e-01 -3.148317e-02 -1.564279e-01)
131           	(-2.064046e-01 -3.935789e-02 -1.539530e-01)
132           	(-2.165311e-01 -4.392530e-02 -1.299640e-01)
133           	(-2.312452e-01 -4.536397e-02 -1.433716e-01)
134           	(-2.250197e-01 -4.637868e-02 -1.418339e-01)
135           	(-2.195145e-01 -4.621612e-02 -1.156565e-01)
136           	(-2.198671e-01 -4.553473e-02 -1.179460e-01)
137           	(-2.265574e-01 -4.288759e-02 -1.383364e-01)
138           	(-2.228072e-01 -3.846524e-02 -1.277250e-01)
139           	(-2.125466e-01 -3.291979e-02 -1.180347e-01)
140           	(-2.014117e-01 -2.870345e-02 -1.085225e-01)
141           	(-1.925066e-01 -2.291628e-02 -1.054358e-01)
142           	(-1.830469e-01 -1.713509e-02 -9.366988e-02)
143           	(-1.878908e-01 -1.210870e-02 -8.535048e-02)
144           	(-1.942531e-01 -8.668027e-03 -6.399176e-02)
145           	(-1.910241e-01 -7.133507e-03 -6.309228e-02)
146           	(-1.835765e-01 -7.335531e-03 -7.161783e-02)
147           	(-1.787429e-01 -9.082821e-03 -6.515403e-02)
148           	(-1.751738e-01 -1.274483e-02 -5.532885e-02)
149           	(-1.821928e-01 -1.744667e-02 -4.857923e-02)
150           	(-1.837006e-01 -2.250354e-02 -4.792719e-02)
151           	(-1.921029e-01 -2.945511e-02 -4.516125e-02)
152           	(-1.858701e-01 -3.461309e-02 -3.916336e-02)
153           	(-1.864862e-01 -3.623398e-02 -3.536409e-02)
154           	(-1.894883e-01 -3.713985e-02 -4.903709e-02)
155           	(-1.926509e-01 -3.569664e-02 -2.705974e-02)
156           	(-1.942840e-01 -3.234670e-02 -2.767815e-02)
157           	(-1.932380e-01 -2.842373e-02 -1.434144e-02)
158           	(-2.017687e-01 -2.445283e-02 -2.504137e-02)
159           	(-1.905803e-01 -2.031690e-02 -1.345768e-02)
160           	(-1.903502e-01 -1.706524e-02 -1.212564e-02)
161           	(-1.798271e-01 -1.508396e-02 8.467327e-03)
162           	(-1.753542e-01 -1.488972e-02 2.612167e-02)
