# Region type : patch pressure_outlet
# Faces       : 11534
# Area        : 3.696967e-03
# Scale factor: 1.000000e+00
# Time        	areaAverage(U)
1             	(-1.610598e-06 -1.187140e-06 9.724893e-04)
2             	(-6.751712e-07 -6.453532e-07 1.015595e-03)
3             	(-2.784239e-07 5.171879e-08 1.027456e-03)
4             	(-6.534320e-06 -1.384445e-05 1.560605e-03)
5             	(-8.658526e-05 1.037574e-04 8.270039e-03)
6             	(-3.770609e-04 4.148250e-04 2.622602e-02)
7             	(-3.883487e-04 2.332277e-04 -2.139406e-05)
8             	(-2.849065e-04 -3.685373e-05 -8.320884e-03)
9             	(-2.288404e-04 -5.289156e-05 1.445041e-02)
10            	(-7.303138e-05 3.482011e-05 1.738520e-02)
11            	(1.083535e-05 3.493991e-04 6.308673e-03)
12            	(5.711299e-05 5.360324e-04 -7.269213e-03)
13            	(-9.812094e-05 6.269363e-04 -1.693114e-02)
14            	(-1.611382e-04 4.276268e-04 -9.175560e-03)
15            	(-2.968598e-04 1.713039e-04 3.594181e-03)
16            	(-3.888918e-04 1.975258e-04 2.476366e-03)
17            	(-4.478890e-04 4.832024e-05 -3.625141e-04)
18            	(-7.212704e-04 -5.411997e-05 -6.541583e-04)
19            	(-9.913795e-04 7.447784e-05 1.690846e-03)
20            	(-1.188189e-03 2.501197e-04 4.220100e-03)
21            	(-1.261087e-03 5.304292e-04 4.238965e-03)
22            	(-1.007059e-03 8.315111e-04 1.768385e-03)
23            	(-6.747281e-04 1.094100e-03 -9.978523e-04)
24            	(-1.765503e-04 1.315957e-03 -2.406931e-03)
25            	(2.009714e-04 1.754306e-03 -1.534733e-03)
26            	(6.516585e-04 2.354367e-03 1.392065e-03)
27            	(1.031072e-03 2.967490e-03 5.574024e-03)
28            	(1.342981e-03 3.450395e-03 8.513062e-03)
29            	(1.442600e-03 3.779462e-03 8.527197e-03)
30            	(1.575173e-03 3.704528e-03 6.605928e-03)
31            	(1.786553e-03 3.442375e-03 4.305887e-03)
32            	(1.903012e-03 3.159611e-03 2.733488e-03)
33            	(1.830871e-03 2.880647e-03 2.464744e-03)
34            	(1.691239e-03 2.512738e-03 2.530433e-03)
35            	(1.535267e-03 2.080859e-03 2.008838e-03)
36            	(1.451998e-03 1.561379e-03 1.466595e-03)
37            	(1.395105e-03 9.970208e-04 1.556249e-03)
38            	(1.249894e-03 4.786275e-04 1.633606e-03)
39            	(1.085851e-03 5.832444e-05 1.551923e-03)
40            	(8.431909e-04 -3.003165e-04 1.301906e-03)
41            	(6.242743e-04 -5.581597e-04 1.108598e-03)
42            	(3.802226e-04 -5.915333e-04 1.197641e-03)
43            	(9.600482e-05 -5.641570e-04 1.221302e-03)
44            	(-1.550989e-04 -6.053100e-04 1.254228e-03)
45            	(-3.298643e-04 -5.696430e-04 1.230477e-03)
46            	(-2.669209e-04 -3.520878e-04 1.364020e-03)
47            	(2.328435e-04 1.076844e-04 1.036840e-03)
48            	(6.040327e-04 3.699626e-04 7.845994e-04)
49            	(9.704687e-04 1.163359e-03 1.388424e-03)
50            	(1.237277e-03 -1.445101e-04 1.656689e-03)
51            	(-6.696640e-04 2.456302e-03 -1.453693e-02)
52            	(2.023949e-03 2.242604e-03 1.629669e-02)
53            	(3.128825e-03 4.563002e-03 1.400387e-02)
54            	(3.508024e-03 4.185051e-03 7.729059e-03)
55            	(3.966648e-03 4.089094e-03 1.551948e-04)
56            	(4.521047e-03 4.327490e-03 -5.470442e-03)
57            	(5.156442e-03 4.583862e-03 -6.882882e-03)
58            	(5.886942e-03 4.130119e-03 -3.938112e-03)
59            	(6.507670e-03 3.903564e-03 3.313359e-03)
60            	(7.148974e-03 3.965478e-03 6.303738e-03)
61            	(7.539050e-03 3.881865e-03 5.451444e-03)
62            	(7.643415e-03 3.689705e-03 2.972005e-03)
63            	(7.801723e-03 3.704170e-03 1.554599e-04)
64            	(7.566624e-03 3.777147e-03 -3.554730e-04)
65            	(6.867293e-03 3.593901e-03 1.301175e-03)
66            	(5.717243e-03 3.229106e-03 2.164216e-03)
67            	(4.613926e-03 2.483859e-03 2.519520e-03)
68            	(3.871599e-03 1.465904e-03 2.309402e-03)
69            	(3.423544e-03 4.542169e-04 2.341906e-03)
70            	(3.003213e-03 -5.228740e-04 2.418671e-03)
71            	(2.816882e-03 -1.346896e-03 1.818365e-03)
72            	(2.764399e-03 -2.017916e-03 1.357674e-03)
73            	(2.607420e-03 -2.331273e-03 1.595437e-03)
74            	(2.222690e-03 -2.645891e-03 1.657236e-03)
75            	(1.581441e-03 -2.873114e-03 1.662225e-03)
76            	(9.213619e-04 -2.922783e-03 1.200302e-03)
77            	(4.637285e-04 -2.705677e-03 1.278775e-03)
78            	(1.561608e-04 -2.534413e-03 1.685782e-03)
79            	(-1.136822e-04 -2.498324e-03 1.610317e-03)
80            	(-3.286659e-04 -2.518210e-03 1.195908e-03)
81            	(-5.647316e-04 -2.435745e-03 9.781370e-04)
82            	(-8.151203e-04 -2.466376e-03 1.004409e-03)
83            	(-9.965747e-04 -2.602115e-03 1.071477e-03)
84            	(-1.145416e-03 -2.972608e-03 1.033520e-03)
85            	(-1.311889e-03 -3.669382e-03 1.502659e-03)
86            	(-1.572635e-03 -4.268724e-03 1.387874e-03)
87            	(-1.751554e-03 -4.887064e-03 1.542221e-03)
88            	(-1.921908e-03 -5.242389e-03 1.453957e-03)
89            	(-2.035159e-03 -5.473100e-03 1.328488e-03)
