# Region type : patch velocity_inlet
# Faces       : 1888
# Area        : 1.948111e-03
# Scale factor: 1.000000e+00
# Time        	sum(phi)
1             	-1.948111e-03
2             	-1.948111e-03
3             	-1.948111e-03
4             	-1.948111e-03
5             	-1.948111e-03
6             	-1.948111e-03
7             	-1.948111e-03
8             	-1.948111e-03
9             	-1.948111e-03
10            	-1.948111e-03
11            	-1.948111e-03
12            	-1.948111e-03
13            	-1.948111e-03
14            	-1.948111e-03
15            	-1.948111e-03
16            	-1.948111e-03
17            	-1.948111e-03
18            	-1.948111e-03
19            	-1.948111e-03
20            	-1.948111e-03
21            	-1.948111e-03
22            	-1.948111e-03
23            	-1.948111e-03
24            	-1.948111e-03
25            	-1.948111e-03
26            	-1.948111e-03
27            	-1.948111e-03
28            	-1.948111e-03
29            	-1.948111e-03
30            	-1.948111e-03
31            	-1.948111e-03
32            	-1.948111e-03
33            	-1.948111e-03
34            	-1.948111e-03
35            	-1.948111e-03
36            	-1.948111e-03
37            	-1.948111e-03
38            	-1.948111e-03
39            	-1.948111e-03
40            	-1.948111e-03
41            	-1.948111e-03
42            	-1.948111e-03
43            	-1.948111e-03
44            	-1.948111e-03
45            	-1.948111e-03
46            	-1.948111e-03
47            	-1.948111e-03
48            	-1.948111e-03
49            	-1.948111e-03
50            	-1.948111e-03
51            	-1.948111e-03
52            	-1.948111e-03
53            	-1.948111e-03
54            	-1.948111e-03
55            	-1.948111e-03
56            	-1.948111e-03
57            	-1.948111e-03
58            	-1.948111e-03
59            	-1.948111e-03
60            	-1.948111e-03
61            	-1.948111e-03
62            	-1.948111e-03
63            	-1.948111e-03
64            	-1.948111e-03
65            	-1.948111e-03
66            	-1.948111e-03
67            	-1.948111e-03
68            	-1.948111e-03
69            	-1.948111e-03
70            	-1.948111e-03
71            	-1.948111e-03
72            	-1.948111e-03
73            	-1.948111e-03
74            	-1.948111e-03
75            	-1.948111e-03
76            	-1.948111e-03
77            	-1.948111e-03
78            	-1.948111e-03
79            	-1.948111e-03
80            	-1.948111e-03
81            	-1.948111e-03
82            	-1.948111e-03
83            	-1.948111e-03
84            	-1.948111e-03
85            	-1.948111e-03
86            	-1.948111e-03
87            	-1.948111e-03
88            	-1.948111e-03
89            	-1.948111e-03
90            	-1.948111e-03
91            	-1.948111e-03
92            	-1.948111e-03
93            	-1.948111e-03
94            	-1.948111e-03
95            	-1.948111e-03
96            	-1.948111e-03
97            	-1.948111e-03
98            	-1.948111e-03
99            	-1.948111e-03
100           	-1.948111e-03
