# Region type : patch pressure_outlet
# Faces       : 6382
# Area        : 3.066803e-04
# Scale factor: 1.000000e+00
# Time        	sum(phi)
277           	5.230152e-09
278           	3.423261e-09
279           	5.284853e-09
280           	5.731684e-09
281           	9.228483e-09
282           	-1.058030e-09
283           	7.306608e-09
284           	9.882155e-09
285           	1.607053e-08
286           	1.997171e-08
287           	2.156973e-08
288           	1.329104e-08
289           	1.192952e-08
290           	8.497017e-09
291           	1.085199e-08
292           	7.956166e-09
293           	8.869375e-09
294           	7.570314e-09
295           	-1.105637e-09
296           	-9.731697e-10
297           	-2.132293e-09
298           	-1.601691e-09
299           	8.204267e-10
300           	4.592115e-09
301           	8.089911e-09
302           	1.430785e-08
303           	6.925486e-09
304           	5.328534e-09
305           	4.608231e-09
306           	3.379165e-09
307           	1.703830e-09
308           	-6.469809e-11
309           	-1.112226e-08
310           	4.994469e-09
311           	-4.494500e-09
312           	-5.459378e-09
313           	2.309780e-10
314           	1.977370e-09
315           	4.891011e-09
316           	1.798213e-09
317           	8.778752e-10
318           	1.223422e-09
319           	6.036850e-10
320           	5.068233e-10
321           	-1.034358e-09
322           	-2.136413e-10
323           	2.948076e-09
324           	4.587400e-09
325           	-1.048928e-08
326           	-9.273443e-09
327           	-6.304582e-09
328           	-4.394615e-09
329           	-4.777293e-09
330           	-1.112649e-08
331           	-3.895343e-09
332           	3.518675e-10
333           	1.835228e-09
334           	-1.014499e-08
335           	-6.775301e-09
336           	-4.370950e-09
337           	-1.896648e-09
338           	-1.991181e-09
339           	-4.295280e-09
340           	-4.862764e-09
341           	-5.696034e-09
342           	-4.578716e-09
343           	-4.486515e-09
344           	-4.183365e-09
345           	-2.605428e-09
346           	-1.790285e-09
347           	-2.927064e-09
348           	-2.674944e-09
349           	-2.393523e-09
350           	-2.049069e-09
351           	-3.827529e-09
352           	-4.342511e-09
353           	-5.029494e-09
354           	-4.949139e-09
355           	-4.584711e-09
356           	-2.368457e-09
357           	-1.552385e-09
358           	-2.074089e-09
359           	-1.940443e-09
360           	-2.683377e-09
361           	-3.414755e-09
362           	-3.922599e-09
363           	-9.851878e-09
364           	-1.086645e-08
365           	-9.914997e-09
366           	-8.291304e-09
367           	-6.637110e-09
368           	-5.540400e-09
369           	-5.530152e-09
370           	-4.334718e-09
371           	-3.701083e-09
372           	-3.691225e-09
373           	-3.884267e-09
374           	-4.615135e-09
375           	-5.282342e-09
376           	-5.721644e-09
377           	-5.285936e-09
378           	-6.126460e-09
379           	-5.882035e-09
380           	-6.737821e-09
381           	-5.902561e-09
382           	-4.523027e-09
383           	-7.549065e-09
384           	-7.780898e-09
385           	-1.971706e-09
386           	-3.645765e-09
387           	-3.877877e-09
388           	-4.025545e-09
389           	-4.400942e-09
390           	-4.752649e-09
391           	-5.012691e-09
392           	-5.366770e-09
393           	-5.498033e-09
394           	-5.375645e-09
395           	-5.302601e-09
396           	-5.871332e-09
397           	-6.971932e-09
398           	-7.252040e-09
399           	-6.036283e-09
400           	-3.532180e-09
401           	-2.483473e-09
402           	-4.865166e-10
403           	-7.001217e-10
404           	-1.261622e-10
405           	-1.168484e-09
406           	-2.385386e-10
407           	-5.126247e-10
408           	-1.217396e-09
409           	-1.890957e-09
410           	-2.459329e-09
411           	-3.164236e-09
412           	-3.894607e-09
413           	-4.513658e-09
414           	-4.949324e-09
415           	-5.370649e-09
416           	-5.616343e-09
417           	-5.778250e-09
418           	-5.826054e-09
419           	-5.870276e-09
420           	-5.461900e-09
421           	-5.059203e-09
422           	-4.987891e-09
423           	-4.990322e-09
424           	-4.703611e-09
425           	-3.861442e-09
426           	-3.798176e-09
427           	-4.181923e-09
428           	-4.165902e-09
429           	-4.152222e-09
430           	-5.238209e-09
431           	-5.001456e-09
432           	-4.605654e-09
433           	-3.990373e-09
434           	-3.647691e-09
435           	-4.105254e-09
436           	-3.527979e-09
437           	-8.515339e-10
438           	-9.465454e-10
439           	-7.849335e-10
440           	-4.794543e-10
441           	-6.893767e-09
442           	-6.923949e-09
443           	-7.440769e-09
444           	-8.117952e-09
445           	-2.329383e-09
446           	-1.953266e-09
447           	-1.329809e-09
448           	1.426083e-10
449           	-4.709078e-09
450           	-4.057029e-09
451           	7.321382e-10
452           	2.339803e-09
453           	5.097748e-09
454           	-7.203210e-10
455           	3.913630e-09
456           	2.938212e-09
457           	7.914415e-09
458           	4.728344e-09
