# Region type : patch pressure_outlet
# Faces       : 11534
# Area        : 3.696967e-03
# Scale factor: 1.000000e+00
# Time        	areaAverage(U)
1             	(-1.156860e-06 -9.271569e-07 9.887210e-04)
2             	(-1.054508e-06 -1.015601e-06 1.008204e-03)
3             	(-8.747095e-07 -8.834886e-07 1.005616e-03)
4             	(-6.583452e-07 -7.192078e-07 9.919196e-04)
5             	(-4.585499e-07 -6.593126e-07 1.004845e-03)
6             	(-3.351838e-07 -6.396397e-07 1.002208e-03)
7             	(-2.079801e-07 -5.929764e-07 9.943743e-04)
8             	(-9.977552e-08 -5.646845e-07 1.003143e-03)
9             	(-3.542834e-08 -5.743529e-07 1.000645e-03)
10            	(2.680646e-08 -5.837091e-07 9.971440e-04)
11            	(9.494034e-08 -6.089867e-07 1.002132e-03)
12            	(1.401900e-07 -6.263778e-07 9.995892e-04)
13            	(1.724178e-07 -6.331605e-07 9.988699e-04)
14            	(2.109633e-07 -6.385480e-07 1.001225e-03)
15            	(2.394803e-07 -6.413930e-07 9.993704e-04)
16            	(2.575760e-07 -6.357443e-07 9.997137e-04)
17            	(2.666198e-07 -6.383808e-07 1.000581e-03)
18            	(2.656808e-07 -6.378713e-07 9.994651e-04)
19            	(2.541925e-07 -6.341055e-07 1.000034e-03)
20            	(2.399562e-07 -6.316100e-07 1.000192e-03)
21            	(2.255076e-07 -6.274553e-07 9.996323e-04)
22            	(2.124336e-07 -6.249381e-07 1.000102e-03)
23            	(2.008648e-07 -6.274944e-07 1.000001e-03)
24            	(1.935239e-07 -6.373301e-07 9.997827e-04)
25            	(1.867021e-07 -6.578205e-07 1.000067e-03)
26            	(1.796837e-07 -6.845157e-07 9.999257e-04)
27            	(1.730103e-07 -7.181809e-07 9.998776e-04)
28            	(1.656270e-07 -7.593766e-07 1.000023e-03)
29            	(1.571896e-07 -8.069142e-07 9.999136e-04)
30            	(1.476751e-07 -8.610002e-07 9.999298e-04)
31            	(1.395271e-07 -9.208489e-07 9.999920e-04)
32            	(1.277070e-07 -9.888770e-07 9.999247e-04)
33            	(1.148729e-07 -1.064539e-06 9.999554e-04)
34            	(1.005097e-07 -1.148254e-06 9.999783e-04)
35            	(8.456201e-08 -1.241576e-06 9.999417e-04)
36            	(6.695704e-08 -1.345835e-06 9.999690e-04)
37            	(4.786522e-08 -1.462375e-06 9.999779e-04)
38            	(2.685833e-08 -1.592534e-06 9.999601e-04)
39            	(1.220897e-08 -1.660034e-06 9.999800e-04)
40            	(-1.169882e-08 -1.776699e-06 9.999999e-04)
41            	(-3.495132e-08 -1.926754e-06 9.999871e-04)
42            	(-5.841147e-08 -2.092504e-06 1.000006e-03)
43            	(-7.164513e-08 -2.281631e-06 1.000009e-03)
44            	(-9.471988e-08 -2.489645e-06 1.000001e-03)
45            	(-1.143269e-07 -2.734824e-06 1.000020e-03)
46            	(-1.377308e-07 -3.010050e-06 1.000033e-03)
47            	(-1.641018e-07 -3.321549e-06 1.000027e-03)
48            	(-1.931123e-07 -3.673177e-06 1.000043e-03)
49            	(-2.252290e-07 -4.068882e-06 1.000059e-03)
50            	(-2.607352e-07 -4.514860e-06 1.000058e-03)
51            	(-2.449678e-07 -4.913584e-06 1.000070e-03)
52            	(-2.456437e-07 -5.414239e-06 1.000104e-03)
53            	(-2.330406e-07 -6.018544e-06 1.000100e-03)
54            	(-3.031071e-07 -6.535223e-06 1.000111e-03)
55            	(-5.730847e-07 -5.884558e-06 1.000138e-03)
56            	(-5.273234e-07 -6.639186e-06 1.000478e-03)
57            	(-5.220171e-07 -7.276844e-06 9.996801e-04)
58            	(-8.109892e-07 -6.851719e-06 9.999275e-04)
59            	(-8.099517e-07 -8.293644e-06 1.000846e-03)
60            	(-7.571242e-07 -9.386858e-06 9.995593e-04)
61            	(-1.130143e-06 -8.948669e-06 9.998023e-04)
62            	(-1.228510e-06 -1.100217e-05 1.001013e-03)
63            	(-1.122616e-06 -1.260584e-05 9.994888e-04)
64            	(-1.622823e-06 -1.179732e-05 9.995072e-04)
65            	(-1.087470e-06 -1.408143e-05 1.001193e-03)
66            	(-1.605868e-06 -1.366953e-05 9.993991e-04)
67            	(-1.795692e-06 -1.538257e-05 1.000532e-03)
68            	(-1.632670e-06 -1.544576e-05 9.992492e-04)
69            	(-1.737208e-06 -1.847284e-05 1.001205e-03)
