# Region type : patch pressure_outlet
# Faces       : 11534
# Area        : 3.696967e-03
# Scale factor: 1.000000e+00
# Time        	areaAverage(U)
1             	(-5.025304e-07 -4.900936e-07 9.914012e-04)
2             	(-8.122907e-07 -8.174146e-07 9.986963e-04)
3             	(-8.924321e-07 -9.255035e-07 1.005457e-03)
4             	(-8.807505e-07 -9.441544e-07 1.005360e-03)
5             	(-8.281019e-07 -9.210677e-07 1.000709e-03)
6             	(-7.595953e-07 -8.888986e-07 9.970769e-04)
7             	(-6.951824e-07 -8.408879e-07 9.973241e-04)
8             	(-6.373588e-07 -8.077384e-07 9.999614e-04)
9             	(-5.801325e-07 -7.950663e-07 1.002003e-03)
10            	(-5.393467e-07 -7.825863e-07 1.001463e-03)
11            	(-4.974681e-07 -7.690252e-07 9.996326e-04)
12            	(-4.564903e-07 -7.578791e-07 9.986767e-04)
13            	(-4.121511e-07 -7.578407e-07 9.992613e-04)
14            	(-3.711572e-07 -7.576216e-07 1.000359e-03)
15            	(-3.404605e-07 -7.602546e-07 1.000747e-03)
16            	(-3.045722e-07 -7.688347e-07 1.000251e-03)
17            	(-2.762696e-07 -7.641338e-07 9.996069e-04)
18            	(-2.460786e-07 -7.674506e-07 9.994758e-04)
19            	(-2.173897e-07 -7.726518e-07 9.998296e-04)
20            	(-1.915087e-07 -7.768989e-07 1.000182e-03)
21            	(-1.704884e-07 -7.800256e-07 1.000198e-03)
22            	(-1.491222e-07 -7.847318e-07 9.999634e-04)
23            	(-1.298499e-07 -7.874441e-07 9.997802e-04)
24            	(-1.083189e-07 -7.962610e-07 9.998081e-04)
25            	(-9.062895e-08 -8.042093e-07 9.999561e-04)
26            	(-7.530022e-08 -8.104595e-07 1.000046e-03)
27            	(-6.133762e-08 -8.180522e-07 1.000011e-03)
28            	(-4.763960e-08 -8.280175e-07 9.999230e-04)
29            	(-3.593900e-08 -8.410729e-07 9.998841e-04)
30            	(-2.437697e-08 -8.561993e-07 9.999168e-04)
31            	(-1.455037e-08 -8.725744e-07 9.999696e-04)
32            	(-6.715515e-09 -8.912909e-07 9.999876e-04)
33            	(-3.803905e-09 -9.093946e-07 9.999650e-04)
34            	(2.886987e-09 -9.323663e-07 9.999373e-04)
35            	(9.318083e-09 -9.580293e-07 9.999359e-04)
36            	(1.545280e-08 -9.882901e-07 9.999547e-04)
37            	(2.061457e-08 -1.022310e-06 9.999708e-04)
38            	(2.773958e-08 -1.062837e-06 9.999712e-04)
39            	(3.262379e-08 -1.108027e-06 9.999618e-04)
40            	(3.747275e-08 -1.155272e-06 9.999562e-04)
41            	(4.132205e-08 -1.208567e-06 9.999600e-04)
42            	(4.464722e-08 -1.268273e-06 9.999692e-04)
43            	(4.638635e-08 -1.333845e-06 9.999770e-04)
44            	(4.817113e-08 -1.407481e-06 9.999794e-04)
45            	(4.833524e-08 -1.487644e-06 9.999790e-04)
46            	(4.769707e-08 -1.576218e-06 9.999806e-04)
47            	(4.591256e-08 -1.672904e-06 9.999853e-04)
48            	(4.314626e-08 -1.778972e-06 9.999914e-04)
49            	(3.886549e-08 -1.895382e-06 9.999946e-04)
50            	(3.350540e-08 -2.022885e-06 9.999982e-04)
51            	(2.741254e-08 -2.162560e-06 1.000003e-03)
52            	(2.024004e-08 -2.315329e-06 1.000009e-03)
53            	(1.214857e-08 -2.482455e-06 1.000014e-03)
54            	(-1.070345e-07 -2.285422e-06 1.000020e-03)
55            	(-4.922983e-08 -2.687480e-06 1.000057e-03)
56            	(-4.924184e-08 -2.848032e-06 9.999628e-04)
57            	(-6.244731e-08 -3.092709e-06 9.999464e-04)
58            	(-7.580019e-08 -3.406345e-06 9.999890e-04)
59            	(-2.297348e-07 -3.167843e-06 1.000041e-03)
60            	(-1.602902e-07 -3.554030e-06 1.000117e-03)
61            	(-1.610987e-07 -3.806729e-06 1.000011e-03)
62            	(-1.744281e-07 -4.136738e-06 9.999659e-04)
63            	(-3.679935e-07 -3.776443e-06 1.000012e-03)
64            	(-2.444022e-07 -4.587705e-06 1.000157e-03)
65            	(-2.143207e-07 -5.070641e-06 1.000021e-03)
66            	(-2.058616e-07 -5.596964e-06 9.999602e-04)
67            	(-4.374825e-07 -5.093081e-06 1.000007e-03)
68            	(-2.975294e-07 -6.315971e-06 1.000209e-03)
69            	(-2.531661e-07 -7.052029e-06 1.000019e-03)
70            	(-5.184529e-07 -6.469447e-06 9.999086e-04)
71            	(-2.404018e-07 -7.740455e-06 1.000132e-03)
72            	(-1.557434e-07 -8.784693e-06 9.999716e-04)
73            	(-4.117362e-07 -7.985985e-06 9.998763e-04)
74            	(-2.889423e-09 -9.248073e-06 1.000198e-03)
75            	(7.520269e-08 -1.091969e-05 1.000067e-03)
76            	(-1.477782e-07 -9.808432e-06 9.997436e-04)
77            	(-3.303962e-07 -9.688951e-06 1.000159e-03)
78            	(-2.318186e-07 -1.138594e-05 1.000362e-03)
79            	(-4.779444e-07 -1.083528e-05 9.995996e-04)
80            	(-5.613761e-07 -1.156992e-05 9.999735e-04)
81            	(-6.456135e-07 -1.234357e-05 1.000175e-03)
82            	(-5.458364e-07 -1.366793e-05 1.000148e-03)
83            	(-6.072879e-08 -1.535341e-05 1.000028e-03)
84            	(1.959465e-07 -1.714431e-05 1.000155e-03)
85            	(1.335947e-06 -2.800066e-05 1.000486e-03)
86            	(3.523743e-06 -3.882784e-05 1.001440e-03)
87            	(5.440832e-06 -4.975239e-05 1.001231e-03)
88            	(7.251699e-06 -6.177441e-05 1.000030e-03)
89            	(8.831158e-06 -7.429410e-05 9.971390e-04)
90            	(1.135881e-05 -8.948955e-05 9.935930e-04)
91            	(1.302477e-05 -1.051114e-04 9.911449e-04)
92            	(1.421668e-05 -1.219557e-04 9.894995e-04)
93            	(6.493276e-06 -9.022945e-05 9.885615e-04)
94            	(6.667731e-06 -1.076212e-04 9.902081e-04)
95            	(6.191411e-06 -1.088651e-04 9.914322e-04)
96            	(4.549520e-06 -1.112453e-04 9.941770e-04)
97            	(3.321862e-07 -1.010768e-04 9.966730e-04)
98            	(4.146321e-06 -8.868489e-05 1.001479e-03)
99            	(3.923192e-06 -1.004795e-04 1.005619e-03)
100           	(4.176087e-06 -9.468497e-05 1.006768e-03)
101           	(9.367874e-07 -7.916252e-05 1.008719e-03)
102           	(4.544011e-06 -8.458227e-05 1.008728e-03)
103           	(4.059873e-06 -8.643725e-05 1.005767e-03)
104           	(5.716316e-06 -7.432227e-05 1.001701e-03)
105           	(6.342645e-06 -7.635642e-05 1.001446e-03)
106           	(5.976702e-06 -7.343363e-05 1.000276e-03)
107           	(5.557914e-06 -6.992211e-05 1.000482e-03)
108           	(5.283662e-06 -6.608993e-05 9.998060e-04)
109           	(4.544641e-06 -6.310619e-05 9.986277e-04)
110           	(4.012421e-06 -6.134217e-05 9.986257e-04)
111           	(4.061546e-06 -6.163543e-05 9.995614e-04)
112           	(3.147044e-06 -6.192471e-05 1.000645e-03)
113           	(3.472827e-06 -6.373287e-05 1.002032e-03)
114           	(3.083708e-06 -6.304340e-05 1.001997e-03)
115           	(2.429420e-06 -6.286872e-05 1.001619e-03)
116           	(2.002213e-06 -6.394020e-05 1.001036e-03)
117           	(1.639839e-06 -6.303850e-05 1.000618e-03)
118           	(1.022111e-06 -6.342701e-05 1.000893e-03)
119           	(9.604553e-07 -6.393409e-05 1.001033e-03)
120           	(5.031880e-07 -6.323820e-05 1.001121e-03)
121           	(5.798088e-07 -6.204485e-05 1.001315e-03)
122           	(4.420012e-07 -6.256338e-05 1.001410e-03)
123           	(7.453996e-07 -6.175663e-05 1.001031e-03)
124           	(5.666344e-07 -6.057835e-05 1.000906e-03)
125           	(8.691555e-07 -6.067301e-05 1.000775e-03)
126           	(9.691391e-07 -6.115324e-05 1.000646e-03)
127           	(1.052409e-06 -6.130449e-05 1.000488e-03)
128           	(7.075419e-07 -6.118498e-05 1.000467e-03)
129           	(6.773950e-07 -6.091282e-05 1.000519e-03)
130           	(3.390977e-07 -5.934193e-05 1.000552e-03)
131           	(3.312759e-07 -6.108348e-05 1.000778e-03)
132           	(2.772734e-07 -6.082680e-05 1.000147e-03)
133           	(-2.786587e-07 -5.841208e-05 9.998808e-04)
134           	(-3.407719e-07 -6.006716e-05 1.000451e-03)
135           	(-4.871786e-07 -5.885068e-05 1.000056e-03)
136           	(-4.490399e-07 -5.820253e-05 1.000459e-03)
137           	(-4.926493e-07 -5.755770e-05 1.000511e-03)
138           	(-4.291605e-07 -5.837867e-05 1.000323e-03)
139           	(-8.221974e-08 -5.976139e-05 1.000212e-03)
140           	(5.241512e-07 -6.213267e-05 1.000355e-03)
141           	(1.700229e-06 -7.276488e-05 1.000843e-03)
142           	(3.619941e-06 -8.291949e-05 1.001826e-03)
143           	(5.267099e-06 -9.434837e-05 1.001845e-03)
144           	(6.953415e-06 -1.086282e-04 1.000423e-03)
145           	(8.594140e-06 -1.211174e-04 9.971765e-04)
146           	(1.055986e-05 -1.344376e-04 9.932196e-04)
147           	(1.203940e-05 -1.486908e-04 9.903040e-04)
148           	(1.275908e-05 -1.632841e-04 9.886290e-04)
149           	(5.951891e-06 -1.302865e-04 9.877593e-04)
150           	(5.001834e-06 -1.445447e-04 9.900905e-04)
151           	(5.055252e-06 -1.445639e-04 9.927255e-04)
152           	(2.384237e-06 -1.457284e-04 9.948345e-04)
153           	(1.709544e-06 -1.049177e-04 9.982069e-04)
154           	(2.984011e-06 -1.188922e-04 1.004879e-03)
155           	(2.808166e-06 -1.211303e-04 1.007656e-03)
156           	(8.529264e-07 -1.133077e-04 1.010366e-03)
157           	(-1.826483e-06 -1.074623e-04 1.012310e-03)
158           	(-1.394842e-06 -1.082046e-04 1.011221e-03)
159           	(1.791189e-06 -1.071580e-04 1.006939e-03)
160           	(4.036004e-06 -1.057077e-04 1.004382e-03)
161           	(5.443214e-06 -1.110729e-04 1.003635e-03)
162           	(5.371661e-06 -1.119124e-04 1.001069e-03)
163           	(4.263240e-06 -1.120019e-04 1.000052e-03)
164           	(2.683714e-06 -1.029578e-04 1.000223e-03)
165           	(3.040512e-06 -1.016921e-04 9.999385e-04)
166           	(2.700159e-06 -1.016709e-04 9.993955e-04)
167           	(2.168937e-06 -1.004382e-04 9.985736e-04)
168           	(7.358013e-07 -9.975684e-05 9.991387e-04)
169           	(1.413854e-06 -1.030263e-04 1.001175e-03)
170           	(1.005805e-06 -1.036756e-04 1.001769e-03)
171           	(3.098769e-07 -1.032428e-04 1.001796e-03)
172           	(-4.267724e-07 -1.027765e-04 1.001505e-03)
173           	(-8.716354e-07 -1.023147e-04 1.001075e-03)
174           	(-1.236849e-06 -1.017963e-04 1.000820e-03)
175           	(-1.569165e-06 -1.022323e-04 1.000836e-03)
176           	(-2.089220e-06 -1.026344e-04 1.001000e-03)
177           	(-2.541904e-06 -1.029522e-04 1.001044e-03)
178           	(-2.772714e-06 -1.028607e-04 1.001015e-03)
179           	(-1.897835e-06 -1.031403e-04 1.000950e-03)
180           	(-1.884379e-06 -1.030443e-04 1.000858e-03)
181           	(-1.643875e-06 -1.027369e-04 1.000668e-03)
182           	(-1.390552e-06 -1.017286e-04 1.000654e-03)
183           	(-1.542292e-06 -1.014795e-04 1.000732e-03)
184           	(-1.780005e-06 -1.019114e-04 1.000761e-03)
185           	(-1.988258e-06 -1.019280e-04 1.000675e-03)
186           	(-2.108338e-06 -1.023337e-04 1.000587e-03)
187           	(-2.470078e-06 -9.979476e-05 1.000489e-03)
188           	(-2.384030e-06 -1.015111e-04 1.000792e-03)
189           	(-2.332299e-06 -1.016623e-04 1.000181e-03)
190           	(-2.992524e-06 -9.864923e-05 9.997770e-04)
191           	(-3.050218e-06 -9.883619e-05 1.000355e-03)
192           	(-3.196184e-06 -9.895785e-05 1.000476e-03)
193           	(-3.184758e-06 -9.877079e-05 1.000280e-03)
194           	(-3.128888e-06 -9.915447e-05 1.000159e-03)
195           	(-2.848262e-06 -1.012853e-04 1.000228e-03)
196           	(-2.335473e-06 -1.033162e-04 1.000591e-03)
197           	(-1.328607e-06 -1.139682e-04 1.000930e-03)
198           	(3.361568e-07 -1.241423e-04 1.001569e-03)
199           	(2.186062e-06 -1.349890e-04 1.001418e-03)
200           	(3.677412e-06 -1.482320e-04 1.000053e-03)
201           	(5.065795e-06 -1.604015e-04 9.971823e-04)
202           	(6.813579e-06 -1.735085e-04 9.934481e-04)
203           	(8.292746e-06 -1.877358e-04 9.906432e-04)
204           	(9.251429e-06 -2.006268e-04 9.888891e-04)
205           	(7.549736e-07 -1.654408e-04 9.879176e-04)
206           	(1.177706e-06 -1.799367e-04 9.903987e-04)
207           	(1.815421e-06 -1.795396e-04 9.928785e-04)
208           	(-3.510427e-07 -1.795813e-04 9.960649e-04)
209           	(-1.497087e-06 -1.382089e-04 9.992194e-04)
210           	(-1.152962e-06 -1.490578e-04 1.004476e-03)
211           	(-4.458558e-06 -1.477115e-04 1.007377e-03)
212           	(-5.695042e-06 -1.420062e-04 1.009476e-03)
213           	(-6.282662e-06 -1.298386e-04 1.009819e-03)
214           	(1.140822e-07 -1.257952e-04 1.009492e-03)
215           	(-2.296078e-06 -1.219765e-04 1.006556e-03)
