# Region type : patch pressure_outlet
# Faces       : 11534
# Area        : 3.696967e-03
# Scale factor: 1.000000e+00
# Time        	sum(phi)
1             	3.696876e-06
2             	3.697025e-06
3             	3.697045e-06
4             	3.697076e-06
5             	3.690970e-06
6             	3.712630e-06
7             	3.636175e-06
8             	3.681598e-06
9             	3.713922e-06
10            	3.724549e-06
11            	3.721535e-06
12            	3.718692e-06
13            	3.697602e-06
14            	3.695637e-06
15            	3.693386e-06
16            	3.668808e-06
17            	3.664349e-06
18            	3.680027e-06
19            	3.698021e-06
20            	3.713670e-06
21            	3.715530e-06
22            	3.709673e-06
23            	3.698546e-06
24            	3.687415e-06
25            	3.687271e-06
26            	3.690942e-06
27            	3.704164e-06
28            	3.707604e-06
29            	3.701731e-06
30            	3.700213e-06
31            	3.697902e-06
32            	3.697496e-06
33            	3.698680e-06
34            	3.698724e-06
35            	3.697525e-06
36            	3.696542e-06
37            	3.696717e-06
38            	3.697043e-06
39            	3.697344e-06
40            	3.697387e-06
41            	3.696912e-06
42            	3.696682e-06
43            	3.697050e-06
44            	3.697001e-06
45            	3.697714e-06
46            	3.697442e-06
47            	3.697242e-06
48            	3.697092e-06
49            	3.697726e-06
50            	3.695467e-06
51            	3.698533e-06
52            	3.715365e-06
53            	3.699365e-06
54            	3.700821e-06
55            	3.668902e-06
56            	3.661173e-06
57            	3.664158e-06
58            	3.691560e-06
59            	3.722747e-06
60            	3.719826e-06
61            	3.706794e-06
62            	3.693979e-06
63            	3.687292e-06
64            	3.690282e-06
65            	3.698577e-06
66            	3.701385e-06
67            	3.699753e-06
68            	3.697277e-06
69            	3.699473e-06
70            	3.699423e-06
71            	3.696194e-06
72            	3.695823e-06
73            	3.698391e-06
74            	3.698531e-06
75            	3.697780e-06
76            	3.696165e-06
77            	3.696474e-06
78            	3.697931e-06
79            	3.698353e-06
80            	3.698472e-06
81            	3.697769e-06
82            	3.697841e-06
83            	3.697634e-06
84            	3.697561e-06
85            	3.698229e-06
86            	3.698082e-06
87            	3.697925e-06
88            	3.697676e-06
89            	3.697515e-06
90            	3.697486e-06
91            	3.697511e-06
92            	3.697469e-06
93            	3.697594e-06
94            	3.697370e-06
95            	3.697155e-06
96            	3.697328e-06
97            	3.696747e-06
98            	3.697474e-06
99            	3.695819e-06
100           	3.702309e-06
101           	3.673749e-06
102           	3.695816e-06
103           	3.701156e-06
104           	3.701077e-06
105           	3.702703e-06
106           	3.701592e-06
107           	3.692612e-06
108           	3.692432e-06
109           	3.695478e-06
110           	3.696482e-06
111           	3.692135e-06
112           	3.693605e-06
113           	3.694618e-06
114           	3.699630e-06
115           	3.699231e-06
116           	3.696768e-06
117           	3.696672e-06
118           	3.698628e-06
119           	3.698509e-06
120           	3.696496e-06
121           	3.696703e-06
122           	3.697743e-06
123           	3.697771e-06
124           	3.696733e-06
125           	3.696646e-06
126           	3.698411e-06
127           	3.697860e-06
128           	3.697051e-06
129           	3.697435e-06
130           	3.697666e-06
131           	3.697288e-06
132           	3.697467e-06
133           	3.697634e-06
134           	3.697904e-06
135           	3.698141e-06
136           	3.697765e-06
137           	3.697285e-06
138           	3.697986e-06
139           	3.696626e-06
140           	3.692918e-06
141           	3.755155e-06
142           	3.674591e-06
143           	3.667253e-06
144           	3.657419e-06
145           	3.696741e-06
146           	3.709605e-06
147           	3.702686e-06
148           	3.703381e-06
149           	3.700862e-06
150           	3.698969e-06
151           	3.693427e-06
152           	3.695668e-06
153           	3.701564e-06
154           	3.700761e-06
155           	3.696779e-06
156           	3.695850e-06
157           	3.699258e-06
158           	3.699281e-06
159           	3.697436e-06
160           	3.697396e-06
161           	3.698085e-06
162           	3.698486e-06
163           	3.697008e-06
164           	3.696881e-06
165           	3.697880e-06
166           	3.697559e-06
167           	3.697509e-06
168           	3.697700e-06
